IATA,ICAO,Airport name,Country,City
KWT,PFKW,Kwethluk Airport,United States of America,Kwethluk
KWY,,Kiwayu Airport,Kenya,Kiwayu
KWZ,FZQM,Kolwezi Airport,Democratic Republic of the Congo,Kolwezi
KXE,FAKD,P C Pelser Airport,South Africa,Klerksdorp
KXF,NFNO,Koro Island Airport,Fiji,Koro Island
KXK,UHKK,Komsomolsk-on-Amur Airport,Russia,Komsomolsk-on-Amur
KXU,NTKT,Katiu Airport,French Polynesia,Katiu
KYA,LTAN,Konya Airport,Turkey,Konya
KYD,RCLY,Lanyu Airport,Taiwan,Orchid Island
KYE,OLKA,Rene Mouawad Air Base,Lebanon,Tripoli
KYF,YYLR,Yeelirrie Airport,Australia,
KYI,YYTA,Yalata Mission Airport,Australia,Yalata Mission
KYK,PAKY,Karluk Airport,United States of America,Karluk
KYO,,Tampa North Aero Park Airport,United States of America,Tampa
KYP,VYKP,Kyaukpyu Airport,Myanmar,Kyaukpyu
KYS,GAKY,Kayes Dag Dag Airport,Mali,Kayes
KYT,VYKU,Kyauktu Airport,Myanmar,Kyauktu
KYU,PFKU,Koyukuk Airport,United States of America,Koyukuk
KYX,AYYE,Yalumet Airport,Papua New Guinea,Yalumet
KYZ,UNKY,Kyzyl Airport,Russia,Kyzyl
KZC,VDKH,Kampong Chhnang Airport,Cambodia,Kampong Chhnang
KZD,VDSY,Krakor Airport,Cambodia,Krakor
KZF,,Kaintiba Airport,Papua New Guinea,Kaintiba
KZG,ETIN,Flugplatz Kitzingen,Germany,Kitzingen
KZI,LGKZ,Filippos Airport,Greece,Kozani
KZN,UWKD,Kazan International Airport,Russia,Kazan
KZO,UAOO,Kzyl-Orda Southwest Airport,Kazakhstan,Kzyl-Orda
KZR,LTBZ,Zafer Airport,Turkey,Altıntaş
KZS,LGKJ,Kastelorizo Airport,Greece,Kastelorizo Island
LAA,KLAA,Lamar Municipal Airport,United States of America,Lamar
LAB,AYLB,Lab Lab Airport,Papua New Guinea,Lab Lab Mission
LAC,,Layang-Layang Airport,Malaysia,Spratley Islands
LAD,FNLU,Quatro de Fevereiro Airport,Angola,Luanda
LAE,AYNZ,Nadzab Airport,Papua New Guinea,Lae
LAF,KLAF,Purdue University Airport,United States of America,Lafayette
LAG,,La Guaira Airport,Venezuela,La Guaira
LAH,WAPH,"Oesman Sadik Airport, Labuha",Indonesia,Labuha-Halmahera Island
LAI,LFRO,Lannion-Côte de Granit Airport,France,Lannion
LAJ,SBLJ,Lages Airport,Brazil,Lages
LAK,CYKD,Aklavik/Freddie Carmichael Airport,Canada,Aklavik
LAL,KLAL,Lakeland Linder International Airport,United States of America,Lakeland
LAM,KLAM,Los Alamos Airport,United States of America,Los Alamos
LAN,KLAN,Capital City Airport,United States of America,Lansing
LAO,RPLI,Laoag International Airport,Philippines,Laoag City
LAP,MMLP,Manuel Márquez de León International Airport,Mexico,La Paz
LAQ,HLLQ,La Abraq Airport,Libya,Al Bayda'
LAR,KLAR,Laramie Regional Airport,United States of America,Laramie
LAS,KLAS,McCarran International Airport,United States of America,Las Vegas
LAU,HKLU,Manda Airstrip,Kenya,Lamu
LAW,KLAW,Lawton Fort Sill Regional Airport,United States of America,Lawton
LAX,KLAX,Los Angeles International Airport,United States of America,Los Angeles
LAY,FALY,Ladysmith Airport,South Africa,Ladysmith
LAZ,SBLP,Bom Jesus da Lapa Airport,Brazil,Bom Jesus Da Lapa
LBA,EGNM,Leeds Bradford Airport,United Kingdom,Leeds
LBB,KLBB,Lubbock Preston Smith International Airport,United States of America,Lubbock
LBC,EDHL,Lübeck Blankensee Airport,Germany,Lübeck
LBD,UTDL,Khudzhand Airport,Tajikistan,Khudzhand
